zone_id,kappa_mean,kappa_max,aspect_ratio,skewness,dist_to_bc,normal_deviation,area_fraction,edge_length_min,neighbor_ids,is_load_zone
1,0.0,0.0,1.4142,0.25,0.0,0.0,0.166667,5.0,"2,3,4,5",1
2,0.0,0.0,1.4142,0.25,14.1421,0.0,0.166667,5.0,"1,4,5,6",0
3,0.0,0.0,1.4142,0.25,14.1421,0.0,0.166667,5.0,"1,4,5,6",0
4,0.0,0.0,1.4142,0.25,14.1421,0.0,0.166667,5.0,"1,2,3,6",0
5,0.0,0.0,1.4142,0.25,14.1421,0.0,0.166667,5.0,"1,2,3,6",0
6,0.0,0.0,1.4142,0.25,0.0,0.0,0.166667,5.0,"2,3,4,5",1
